Student_ID,Age,Gender,Region,Attendance,Exam_Marks,Income_Category,Distance_to_School,Digital_Access,Scholarship,Teacher_Student_Ratio,Previous_Dropout,Dropout_Risk
S001,18,Male,Urban,77.2,72.7,Low,4.1,Yes,No,20.4,No,Low
S002,15,Female,Urban,100.0,80.0,Medium,6.3,Yes,Yes,26.8,No,Low
S003,16,Male,Rural,90.2,64.1,Medium,13.5,No,Yes,37.0,No,Low
S004,18,Female,Rural,72.1,49.2,Low,0.5,Yes,No,30.5,No,High
S005,14,Male,Rural,58.6,41.3,High,13.6,No,No,38.3,No,High
S006,16,Male,Rural,39.4,65.5,Low,2.7,Yes,No,20.7,Yes,High
S007,16,Female,Rural,68.4,68.6,Medium,14.9,Yes,Yes,23.5,No,Low
S008,18,Male,Urban,57.2,50.5,Medium,14.3,Yes,Yes,23.8,No,Medium
S009,13,Female,Rural,100.0,75.9,Medium,7.7,Yes,Yes,25.7,No,Low
S010,14,Female,Urban,65.2,58.1,Low,7.9,Yes,No,33.8,No,High
S011,18,Female,Urban,64.8,40.2,Medium,7.5,Yes,Yes,42.6,No,Medium
S012,14,Male,Rural,52.2,83.8,Medium,9.7,No,Yes,47.2,No,Medium
S013,14,Male,Urban,71.0,82.2,High,1.8,No,No,45.1,No,High
S014,16,Female,Urban,65.0,34.8,Medium,1.0,Yes,No,25.9,No,High
S015,15,Female,Rural,100.0,56.6,Low,1.3,No,Yes,33.2,No,Medium
S016,14,Male,Rural,77.5,56.0,Medium,6.9,Yes,Yes,26.0,No,Low
S017,17,Female,Urban,74.9,89.6,Medium,4.5,Yes,No,27.9,No,Medium
S018,16,Female,Urban,73.0,63.5,Medium,9.5,No,No,35.1,Yes,High
S019,13,Female,Urban,86.8,42.6,Medium,14.9,Yes,Yes,22.0,No,Medium
S020,15,Male,Urban,68.2,78.2,High,6.1,Yes,No,26.5,No,Low
S021,17,Male,Urban,85.0,46.5,Medium,8.8,Yes,No,48.1,No,Medium
S022,17,Male,Urban,99.2,61.1,Medium,6.5,Yes,Yes,34.0,No,Low
S023,13,Female,Urban,,53.5,Low,12.8,No,Yes,33.4,No,High
S024,15,Female,Urban,71.3,56.6,Low,13.6,No,No,20.4,No,High
S025,16,Female,Urban,60.7,79.1,Low,13.2,No,No,27.4,No,High
S026,12,Male,Rural,70.9,87.8,Low,14.6,No,Yes,46.0,No,High
S027,15,Female,Urban,83.4,45.9,Medium,0.9,Yes,No,24.9,No,Low
S028,13,Female,Rural,52.0,74.4,Medium,12.7,Yes,No,32.5,No,Medium
S029,17,Female,Rural,87.5,54.0,Medium,11.4,Yes,Yes,20.4,No,Low
S030,16,Female,Urban,78.1,54.5,Medium,3.8,Yes,No,34.4,No,Medium
S031,15,Male,Rural,72.8,72.4,High,14.4,Yes,No,20.6,No,Medium
S032,12,Male,Rural,65.1,49.6,Medium,2.6,No,Yes,44.6,No,Medium
S033,12,Female,Urban,67.9,72.1,Medium,10.4,Yes,Yes,44.7,No,Medium
S034,14,Male,Urban,84.0,76.0,Medium,3.8,Yes,Yes,43.6,No,Low
S035,14,Male,Rural,73.1,58.5,Medium,6.8,Yes,No,28.5,No,Medium
S036,18,Female,Urban,67.5,84.9,Low,10.9,Yes,No,45.1,No,High
