job,customers,subscription_rate,mean_balance
student,938,0.2867803837953092,1388.0607675906183
retired,2264,0.22791519434628976,1984.215106007067
unemployed,1303,0.15502686108979277,1521.7459708365311
management,9458,0.13755550856417847,1763.6168323112709
admin.,5171,0.12202668729452718,1135.838909301876
self-employed,1579,0.11842938568714376,1647.9708676377454
unknown,288,0.11805555555555555,1772.357638888889
technician,7597,0.11056996182703699,1252.6320916151112
services,4154,0.08883004333172845,997.0881078478575
housemaid,1240,0.08790322580645162,1392.3951612903227
entrepreneur,1487,0.08271687962340282,1521.470073974445
blue-collar,9732,0.07274969173859433,1078.8266543362104
