age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,target
51,management,single,tertiary,no,102127,no,no,cellular,3,jun,90,1,-1,0,unknown,no,0
59,management,married,tertiary,no,98417,no,no,telephone,20,nov,145,5,-1,0,unknown,no,0
84,retired,married,secondary,no,81204,no,no,telephone,28,dec,679,1,313,2,other,yes,1
84,retired,married,secondary,no,81204,no,no,telephone,1,apr,390,1,94,3,success,yes,1
60,retired,married,primary,no,71188,no,no,cellular,6,oct,205,1,-1,0,unknown,no,0
56,management,divorced,tertiary,no,66721,no,no,cellular,8,aug,442,2,-1,0,unknown,no,0
52,blue-collar,married,primary,no,66653,no,no,cellular,14,aug,109,3,-1,0,unknown,no,0
59,admin.,married,unknown,no,64343,no,no,cellular,6,aug,45,4,-1,0,unknown,no,0
32,entrepreneur,single,tertiary,no,59649,no,no,cellular,1,sep,69,2,-1,0,unknown,no,0
56,blue-collar,married,secondary,no,58932,no,no,telephone,7,jul,339,2,-1,0,unknown,no,0
44,admin.,married,secondary,no,58544,yes,no,unknown,7,may,144,2,-1,0,unknown,no,0
50,services,married,secondary,no,57435,yes,no,cellular,21,nov,319,3,-1,0,unknown,no,0
43,admin.,single,secondary,no,56831,no,no,unknown,15,may,243,1,-1,0,unknown,no,0
61,self-employed,divorced,tertiary,no,52587,no,no,cellular,15,feb,394,3,189,1,success,yes,1
61,self-employed,divorced,tertiary,no,52587,no,no,cellular,10,aug,290,1,-1,0,unknown,yes,1
40,management,married,tertiary,no,52527,no,no,cellular,21,aug,140,11,-1,0,unknown,no,0
58,entrepreneur,married,primary,no,52499,no,no,unknown,6,jun,198,2,-1,0,unknown,no,0
56,entrepreneur,married,tertiary,no,51439,no,yes,cellular,8,jul,325,1,-1,0,unknown,no,0
38,admin.,single,tertiary,no,45789,no,no,telephone,21,jul,21,31,-1,0,unknown,no,0
39,technician,single,unknown,no,45248,yes,no,unknown,6,may,1623,1,-1,0,unknown,yes,1
59,housemaid,divorced,secondary,no,45141,no,no,unknown,6,jun,42,1,-1,0,unknown,no,0
59,unemployed,divorced,secondary,no,44134,no,no,cellular,3,feb,117,1,-1,0,unknown,no,0
31,management,single,tertiary,no,44128,no,no,cellular,21,nov,74,1,-1,0,unknown,no,0
55,management,single,tertiary,no,43074,yes,no,cellular,25,aug,92,6,-1,0,unknown,no,0
42,entrepreneur,married,tertiary,no,42045,no,no,cellular,8,aug,205,2,-1,0,unknown,no,0
55,entrepreneur,married,tertiary,no,41923,no,no,cellular,6,aug,69,3,-1,0,unknown,no,0
43,management,married,tertiary,no,41630,no,no,cellular,18,aug,68,4,-1,0,unknown,no,0
59,retired,married,tertiary,no,41242,no,no,cellular,21,nov,161,1,-1,0,unknown,no,0
36,unemployed,married,tertiary,no,39385,no,no,cellular,1,oct,120,1,-1,0,unknown,no,0
55,management,married,tertiary,no,39098,no,no,cellular,27,may,236,3,-1,0,unknown,no,0
31,management,single,tertiary,no,38279,no,no,cellular,16,jul,225,2,-1,0,unknown,no,0
45,management,married,tertiary,no,37378,yes,no,unknown,14,may,167,1,-1,0,unknown,no,0
46,management,married,tertiary,no,37378,yes,no,cellular,14,oct,146,1,518,1,failure,no,0
54,management,married,tertiary,no,37176,no,no,cellular,21,nov,206,1,-1,0,unknown,no,0
75,retired,divorced,primary,no,37127,no,no,cellular,11,feb,505,1,-1,0,unknown,no,0
51,entrepreneur,married,tertiary,no,36935,yes,no,cellular,21,nov,41,1,-1,0,unknown,no,0
48,management,married,secondary,no,36686,no,no,cellular,30,apr,295,1,-1,0,unknown,no,0
29,management,single,tertiary,no,36252,yes,no,cellular,30,apr,501,1,-1,0,unknown,yes,1
50,unemployed,married,secondary,no,36221,no,no,cellular,21,nov,13,2,-1,0,unknown,no,0
45,self-employed,married,tertiary,no,35589,no,no,telephone,18,nov,570,2,-1,0,unknown,no,0
35,self-employed,married,tertiary,no,35368,yes,no,unknown,21,may,63,1,-1,0,unknown,no,0
32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,-1,0,unknown,yes,1
59,self-employed,married,tertiary,no,34247,yes,no,cellular,17,nov,66,2,-1,0,unknown,no,0
53,management,married,tertiary,no,34230,yes,yes,cellular,7,may,279,1,358,9,other,no,0
59,retired,married,secondary,no,32948,no,no,cellular,19,nov,243,1,174,2,failure,no,0
58,retired,married,secondary,no,32948,no,no,unknown,29,may,364,2,-1,0,unknown,no,0
61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,1447,2,-1,0,unknown,yes,1
53,management,married,tertiary,no,32464,no,no,cellular,19,nov,135,4,-1,0,unknown,no,0
31,technician,single,secondary,no,31868,no,no,telephone,14,aug,34,6,-1,0,unknown,no,0
45,technician,married,tertiary,no,31630,no,no,cellular,30,apr,209,1,-1,0,unknown,no,0
46,technician,married,tertiary,no,31630,no,no,cellular,30,nov,448,2,214,1,failure,no,0
45,management,married,tertiary,no,31472,no,no,cellular,19,jul,568,7,-1,0,unknown,yes,1
71,retired,married,secondary,no,29941,no,no,telephone,18,jun,80,1,71,3,other,no,0
54,management,divorced,tertiary,no,29887,yes,no,unknown,16,may,865,1,-1,0,unknown,no,0
55,management,divorced,tertiary,no,29484,no,no,cellular,20,nov,151,2,-1,0,unknown,no,0
35,entrepreneur,married,primary,no,29397,yes,no,cellular,21,nov,166,1,-1,0,unknown,no,0
77,retired,married,primary,no,29340,no,no,cellular,15,mar,257,1,91,2,other,yes,1
44,services,married,secondary,no,29312,no,no,unknown,13,may,226,1,-1,0,unknown,no,0
31,management,married,tertiary,no,29230,no,no,cellular,25,aug,50,9,-1,0,unknown,no,0
57,technician,married,secondary,no,29207,yes,no,telephone,21,nov,232,2,-1,0,unknown,no,0
60,blue-collar,married,primary,no,29184,no,no,telephone,15,jun,94,2,-1,0,unknown,no,0
38,self-employed,married,secondary,no,29125,no,no,unknown,18,jun,313,2,-1,0,unknown,no,0
74,retired,divorced,primary,no,29080,no,no,cellular,30,jun,301,5,93,4,other,yes,1
32,blue-collar,married,primary,no,29050,yes,yes,unknown,21,may,563,2,-1,0,unknown,no,0
39,management,married,tertiary,no,28433,no,no,cellular,13,aug,247,2,-1,0,unknown,no,0
58,self-employed,married,secondary,no,28318,yes,no,cellular,14,may,168,2,-1,0,unknown,no,0
43,technician,single,tertiary,no,27733,yes,no,unknown,3,jun,164,7,-1,0,unknown,no,0
42,management,married,tertiary,no,27696,no,no,cellular,11,aug,370,1,91,7,success,yes,1
41,management,married,tertiary,no,27696,no,no,cellular,12,feb,138,2,184,3,success,yes,1
41,management,married,tertiary,no,27696,no,no,cellular,12,aug,147,2,104,1,failure,yes,1
41,management,married,tertiary,no,27696,no,no,cellular,30,apr,108,1,-1,0,unknown,no,0
42,management,married,tertiary,no,27696,no,no,cellular,12,may,176,2,89,5,success,yes,1
55,entrepreneur,married,secondary,no,27624,no,no,telephone,3,jun,437,1,-1,0,unknown,yes,1
34,technician,single,secondary,no,27446,yes,no,cellular,21,nov,203,2,-1,0,unknown,no,0
36,management,married,tertiary,no,27359,yes,no,unknown,3,jun,71,2,-1,0,unknown,no,0
57,technician,married,tertiary,no,27069,no,yes,unknown,20,jun,174,3,-1,0,unknown,no,0
31,housemaid,single,primary,no,26965,no,no,cellular,21,apr,654,2,-1,0,unknown,yes,1
58,management,divorced,tertiary,no,26831,no,no,cellular,11,feb,56,18,-1,0,unknown,no,0
28,technician,single,secondary,no,26765,no,no,unknown,13,may,210,8,-1,0,unknown,no,0
33,management,married,tertiary,no,26721,no,no,cellular,5,feb,435,3,-1,0,unknown,no,0
34,management,single,tertiary,no,26575,no,no,cellular,5,may,245,6,168,1,failure,no,0
34,management,single,tertiary,no,26575,no,no,cellular,18,nov,93,1,-1,0,unknown,no,0
75,retired,married,secondary,no,26452,no,no,telephone,15,jul,219,2,-1,0,unknown,no,0
50,services,married,secondary,no,26394,no,no,cellular,25,aug,206,4,-1,0,unknown,no,0
53,management,divorced,tertiary,no,26306,yes,no,cellular,19,nov,67,3,-1,0,unknown,no,0
55,management,divorced,tertiary,no,26306,yes,no,cellular,23,sep,84,1,589,4,failure,no,0
54,management,divorced,tertiary,no,26306,yes,no,cellular,11,feb,27,1,84,3,failure,no,0
58,management,divorced,tertiary,no,26254,yes,no,cellular,21,nov,53,1,31,1,failure,no,0
58,management,divorced,tertiary,no,26254,yes,no,unknown,21,oct,49,1,-1,0,unknown,no,0
39,admin.,married,secondary,no,26233,no,no,cellular,2,oct,462,1,-1,0,unknown,no,0
59,housemaid,single,secondary,no,26172,no,no,cellular,18,nov,54,2,-1,0,unknown,no,0
59,retired,married,secondary,no,25947,no,no,cellular,13,aug,292,2,-1,0,unknown,no,0
51,management,married,tertiary,no,25856,no,no,cellular,14,aug,129,2,-1,0,unknown,no,0
49,retired,single,primary,no,25824,no,no,unknown,17,jun,94,1,-1,0,unknown,no,0
43,admin.,married,secondary,no,25741,yes,no,unknown,30,may,464,2,-1,0,unknown,no,0
56,management,married,tertiary,no,25290,no,no,cellular,31,jul,81,12,-1,0,unknown,no,0
46,entrepreneur,married,tertiary,no,25204,yes,yes,cellular,6,may,72,1,-1,0,unknown,no,0
31,management,single,tertiary,no,24870,yes,no,unknown,21,may,634,2,-1,0,unknown,no,0
42,management,married,tertiary,no,24780,no,no,cellular,6,aug,184,2,-1,0,unknown,no,0
45,management,divorced,tertiary,no,24598,yes,no,unknown,5,may,313,3,-1,0,unknown,no,0
