Mileage,Age,Brand,Engine_Type,Price
15000,2,Toyota,Petrol,18000
22000,3,Honda,Petrol,16500
30000,4,Toyota,Diesel,15000
40000,5,Ford,Diesel,12000
18000,2,Honda,Petrol,17500
50000,6,Ford,Diesel,9500
12000,1,BMW,Petrol,30000
25000,3,BMW,Diesel,27000
35000,4,Toyota,Petrol,14500
45000,5,Honda,Diesel,11000
10000,1,Toyota,Petrol,20000
28000,3,Ford,Petrol,14000
20000,2,BMW,Petrol,29000
55000,7,Ford,Diesel,8500
32000,4,Honda,Petrol,15000
16000,2,Toyota,Diesel,19000
38000,5,BMW,Diesel,22000
42000,5,Honda,Petrol,12500
26000,3,Toyota,Petrol,16000
60000,8,Ford,Diesel,7000
