Engine_Size,Horsepower,Fuel_Efficiency,Age,Price
1.2,80,22,8,8500
1.4,95,20,7,10500
1.5,105,19,6,12000
1.6,110,18,5,13500
1.8,130,17,4,16000
2.0,145,16,3,19000
2.2,160,15,3,22000
2.5,180,14,2,27000
3.0,220,12,2,35000
3.5,260,10,1,45000
1.3,90,21,7,9500
1.5,100,20,6,11500
1.7,120,18,5,14500
1.9,140,17,4,17500
2.1,155,16,3,20500
2.3,170,15,3,23500
2.6,190,13,2,29000
2.8,205,12,2,32000
3.2,235,11,1,39000
3.8,280,9,1,48000
1.4,92,21,8,9800
1.6,115,19,6,13000
1.8,135,17,5,15500
2.0,150,16,4,18500
2.4,175,14,3,25000
2.7,195,13,2,30000
3.0,225,11,2,36000
3.4,250,10,1,42000
3.6,270,9,1,46000
2.2,165,15,4,21500
