Customer_ID,Age,Usage_Minutes,Contract_Months,Monthly_Charges,Support_Calls,Churn
1,25,450,24,55,1,0
2,45,180,6,75,5,1
3,32,520,36,50,1,0
4,51,150,3,85,7,1
5,28,600,24,48,0,0
6,40,220,12,70,4,1
7,35,480,36,52,1,0
8,55,130,6,90,8,1
9,29,550,24,49,1,0
10,48,200,6,78,6,1
11,31,510,36,54,2,0
12,60,120,3,95,9,1
13,27,580,24,47,0,0
14,43,250,12,72,5,1
15,36,490,36,51,1,0
16,52,170,6,82,7,1
17,30,530,24,50,1,0
18,46,210,12,76,5,1
19,26,620,36,45,0,0
20,58,140,3,92,8,1
21,34,470,24,53,2,0
22,49,190,6,80,6,1
23,24,650,36,44,0,0
24,54,160,3,88,7,1
25,38,500,24,55,1,0
26,42,230,12,74,4,1
27,33,560,36,49,1,0
28,57,125,3,93,9,1
29,37,490,24,52,2,0
30,50,175,6,84,7,1
