Customer_ID,Annual_Income,Spending_Score,Purchase_Frequency,Average_Order_Value
1,25000,20,5,40
2,27000,25,6,45
3,30000,30,7,50
4,32000,35,8,55
5,35000,40,9,60
6,38000,45,10,65
7,40000,50,11,70
8,42000,55,12,75
9,45000,60,13,80
10,48000,65,14,85
11,50000,70,15,90
12,52000,75,16,95
13,55000,80,17,100
14,58000,85,18,105
15,60000,90,19,110
16,62000,88,20,115
17,65000,82,18,105
18,68000,78,17,100
19,70000,72,16,95
20,73000,68,15,90
21,75000,62,14,85
22,78000,58,13,80
23,80000,52,12,75
24,83000,48,11,70
25,85000,42,10,65
26,88000,38,9,60
27,90000,32,8,55
28,93000,28,7,50
29,95000,22,6,45
30,98000,18,5,40
