Customer_ID,Age,Annual_Income,Website_Visits,Purchase_Frequency,Average_Order_Value,Spending_Score
1,22,25000,8,3,35,20
2,25,28000,10,4,40,25
3,24,30000,12,5,45,30
4,27,32000,14,5,50,32
5,29,35000,15,6,55,35
6,31,38000,18,7,60,40
7,33,40000,20,8,65,45
8,35,42000,22,9,70,50
9,37,45000,24,10,75,55
10,39,48000,25,11,80,60
11,41,50000,28,12,85,65
12,43,52000,30,13,90,70
13,45,55000,32,14,95,75
14,47,58000,34,15,100,80
15,49,60000,36,16,105,85
16,51,62000,38,17,110,90
17,53,65000,40,18,115,92
18,55,68000,42,19,120,95
19,57,70000,45,20,125,96
20,59,73000,47,21,130,98
21,23,90000,10,3,45,25
22,28,95000,12,4,50,30
23,32,100000,14,5,55,35
24,36,105000,16,6,60,40
25,40,110000,18,7,65,45
26,44,115000,20,8,70,50
27,48,120000,22,9,75,55
28,52,125000,24,10,80,60
29,56,130000,26,11,85,65
30,60,135000,28,12,90,70
