Customer_ID,Transaction_Amount,Items_Purchased
1,120,2
1,150,3
1,100,2
2,300,5
2,250,4
2,350,6
3,80,1
3,100,2
3,120,2
4,500,8
4,450,7
4,550,9
5,200,3
5,180,3
5,220,4
6,700,10
6,650,9
6,750,11
7,90,1
7,110,2
7,100,1
8,400,6
8,450,7
8,350,5
9,150,2
9,180,3
9,170,2
10,600,9
10,550,8
10,650,10
11,250,4
11,300,5
11,280,4
12,800,12
12,750,11
12,850,13
13,100,2
13,120,2
13,90,1
14,350,5
14,400,6
14,380,5
15,450,7
15,500,8
15,480,7
16,180,3
16,200,3
16,220,4
17,650,10
17,700,11
17,680,10
18,280,4
18,300,5
18,320,5
19,90,1
19,100,2
19,110,2
20,500,8
20,550,9
20,520,8
